"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Успешное обновление баннера с одним из полей","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","2","Попытка обновить баннер с неверным типом полей в теле запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","49","Тестирование апи метода DeleteBanner: DELETE /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","0","Попытка создать баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","0","Попытка получить список баннеров с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","9","Успешное удаление баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка получения баннера с некорректными параметрами запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка обновить баннер с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","0","Попытка удалить баннер с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка удалить баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","7","Успешное создание баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","4","Успешное получение списка баннеров по фиче","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","200","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","0","Попытка создать баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","0","Попытка получения несуществующего баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка удалить баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","1","Успешное получение активного баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","2","Успешное получение активного баннера с указанной версией","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","55","Успешное удаление баннера по тэгу","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","76","Тестирование апи метода UpdateBanner: PATCH /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","0","Попытка получить список баннеров неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","3","Успешное получение списка баннеров при фильтре запрашивающем несуществующий баннер","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","0","Попытка удалить не существующий баннер","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","46","Тестирование апи метода GetUserBanner: GET /user_banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","1","Попытка удалить не существующий баннер","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","4","Успешное получение активного баннера с обязательным запросом к базе после кэширования","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","1","Попытка обновить баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","57","Успешное удаление баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
