"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Тестирование апи метода GetUserBanner: GET /user_banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","0","Попытка получить список баннеров неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","214","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","0","Попытка получения баннера с передачей не всех параметров запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","3","Успешное получение списка баннеров по тэгу","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","55","Успешное удаление баннера по фиче","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка создать баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","39","Тестирование апи метода UpdateBanner: PATCH /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","2","Успешное получение списка баннеров при фильтре запрашивающем несуществующий баннер","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","59","Успешное удаление баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка обновить баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","5","Успешное обновление баннеров с сохранением только трёх последних версий","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","0","Попытка удалить не существующий баннер","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка удалить баннер с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка удалить баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка удалить баннер без параметров запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка удалить баннер с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","1","Попытка получения несуществующего баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","2","Успешное получение списка баннеров по фиче","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","0","Попытка обновить баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","0","Попытка обновить баннер с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","0","Попытка получить список баннеров пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
